Country,Crop,Soil Type,Temperature,Season,Category
Dominican Republic,Watermelon,Clay,20 to 35,Monsoon,Fruit
Dominican Republic,Sweet Potatoes,Chalky,20 to 30,Monsoon,Pulse
Dominican Republic,Macadamia,Loamy,15 to 25,Summer,Nut
Dominican Republic,Beetroot,Peaty,20 to 30,Monsoon,Pulse
Dominican Republic,Fig,Chalky,15 to 22,Summer,Herb
Dominican Republic,Mango,Clay,15 to 22,Kharif,Herb
Dominican Republic,Blueberry,Peaty,15 to 28,Summer,Vegetable
Dominican Republic,Guava,Peaty,20 to 35,Monsoon,Spice
Dominican Republic,Turnip,Chalky,15 to 25,Rabi,Nut
Dominican Republic,Plum,Peaty,15 to 25,Zaid,Nut
Dominican Republic,Kale,Sandy,15 to 22,Zaid,Herb
Dominican Republic,Cabbage,Chalky,20 to 35,Monsoon,Fruit
Dominican Republic,Durum Wheat,Clay,20 to 35,Kharif,Fruit
Dominican Republic,Buckwheat,Sandy,20 to 35,Kharif,Fruit
Dominican Republic,Broccoli,Silty,15 to 25,Zaid,Nut
Dominican Republic,Lemons,Loamy,20 to 35,Summer,Spice
Dominican Republic,Walnut,Peaty,20 to 35,Monsoon,Fruit
Dominican Republic,Olives,Chalky,15 to 25,Summer,Nut
Dominican Republic,Tobacco,Silty,15 to 22,Monsoon,Herb
Dominican Republic,Radish,Peaty,18 to 32,Summer,Oilseed
Dominican Republic,Okra,Chalky,18 to 32,Rabi,Oilseed
Dominican Republic,Blackberry,Chalky,15 to 22,Kharif,Herb
Ecuador,Cocoa,Chalky,20 to 36,Kharif,Fruit
Ecuador,Ginger,Clay,23 to 34,Winter,Cash Crop
Ecuador,Strawberry,Saline,11 to 27,Winter,Cash Crop
Ecuador,Pineapple,Saline,18 to 30,Zaid,Cereal
Ecuador,Peanut,Clay,20 to 27,Kharif,Leafy
Ecuador,Wheat,Sandy,14 to 38,Summer,Leafy
Ecuador,Turnip,Chalky,16 to 38,Zaid,Pulse
Ecuador,Onion,Sandy,24 to 33,Winter,Fruit
Ecuador,Apple,Silt,24 to 36,Winter,Pulse
Ecuador,Plum,Clay,17 to 35,Dry,Pulse
Ecuador,Sesame,Saline,21 to 34,Dry,Cereal
Ecuador,Turmeric,Clay,25 to 28,Kharif,Leafy
Ecuador,Grapes,Clay,18 to 27,Kharif,Root
Ecuador,Teff,Saline,15 to 33,Monsoon,Cereal
Ecuador,Beans,Loamy,24 to 30,Summer,Cereal
Ecuador,Zucchini,Clay,16 to 38,Summer,Fruit
Ecuador,Radish,Saline,12 to 26,Zaid,Leafy
Ecuador,Brinjal,Silt,14 to 29,Kharif,Root
Ecuador,Orange,Loamy,17 to 28,Summer,Vegetable
Ecuador,Carrot,Clay,13 to 37,Winter,Fruit
Ecuador,Brinjal,Chalky,20 to 28,Rabi,Root
Ecuador,Spinach,Sandy,11 to 30,Dry,Cereal
Ecuador,Cocoa,Saline,25 to 26,Summer,Cereal
Ecuador,Coconut,Peaty,20 to 35,Kharif,Vegetable
Ecuador,Chickpea,Loamy,19 to 32,Winter,Cash Crop
Ecuador,Pear,Peaty,18 to 38,Dry,Cereal
Ecuador,Apple,Loamy,11 to 26,Rabi,Leafy
Ecuador,Leek,Chalky,15 to 31,Dry,Root
Ecuador,Barley,Chalky,15 to 38,Dry,Vegetable
Ecuador,Pumpkin,Clay,23 to 36,Kharif,Root
Ecuador,Mustard,Sandy,24 to 28,Winter,Cereal
Ecuador,Spinach,Clay,13 to 28,Dry,Leafy
Ecuador,Zucchini,Loamy,24 to 37,Winter,Cash Crop
Ecuador,Peanut,Silt,24 to 31,Rabi,Vegetable
Ecuador,Garlic,Chalky,13 to 33,Dry,Root
Ecuador,Plum,Silt,22 to 34,Winter,Root
Ecuador,Cocoa,Loamy,21 to 29,Rabi,Cash Crop
Ecuador,Sorghum,Loamy,21 to 37,Summer,Vegetable
Ecuador,Cocoa,Loamy,23 to 34,Monsoon,Fruit
Ecuador,Mustard,Saline,10 to 19,Dry,Vegetable
Ecuador,Grapes,Silt,20 to 33,Dry,Cash Crop
Ecuador,Mango,Clay,15 to 28,Monsoon,Cereal
Ecuador,Cassava,Chalky,14 to 31,Summer,Vegetable
Ecuador,Rye,Chalky,23 to 37,Summer,Leafy
Ecuador,Melon,Silt,25 to 30,Monsoon,Root
Ecuador,Peach,Saline,24 to 34,Summer,Vegetable
Ecuador,Sugarcane,Silt,22 to 28,Kharif,Pulse
Ecuador,Pumpkin,Clay,12 to 27,Zaid,Cash Crop
Ecuador,Linseed,Clay,11 to 28,Kharif,Cash Crop
Ecuador,Barley,Sandy,22 to 27,Zaid,Cereal
Ecuador,Brinjal,Sandy,14 to 28,Winter,Leafy
Ecuador,Wheat,Clay,21 to 32,Kharif,Pulse
Ecuador,Mustard,Clay,13 to 26,Winter,Vegetable
Ecuador,Apple,Chalky,25 to 30,Zaid,Root
Ecuador,Blueberry,Peaty,15 to 28,Kharif,Fruit
Ecuador,Papaya,Clay,18 to 29,Summer,Pulse
Ecuador,Coffee,Silt,23 to 36,Winter,Leafy
Ecuador,Carrot,Chalky,15 to 29,Monsoon,Leafy
Ecuador,Oats,Sandy,19 to 33,Rabi,Cereal
Ecuador,Cabbage,Loamy,12 to 38,Winter,Vegetable
Egypt,Beetroot,Saline,20 to 30,Dry,Vegetable
Egypt,Sesame,Clay,25 to 34,Monsoon,Root
Egypt,Sesame,Saline,22 to 37,Dry,Pulse
Egypt,Coconut,Peaty,24 to 27,Winter,Cereal
Egypt,Sorghum,Silt,10 to 30,Summer,Cash Crop
Egypt,Mango,Saline,20 to 30,Zaid,Leafy
Egypt,Sugarcane,Silt,13 to 28,Dry,Cereal
Egypt,Rice,Silt,20 to 27,Winter,Root
Egypt,Banana,Clay,10 to 38,Kharif,Leafy
Egypt,Soybean,Loamy,16 to 26,Kharif,Fruit
Egypt,Peas,Clay,13 to 35,Kharif,Cereal
Egypt,Radish,Chalky,24 to 26,Winter,Cash Crop
Egypt,Linseed,Silt,20 to 31,Rabi,Fruit
Egypt,Cabbage,Clay,16 to 35,Summer,Cereal
Egypt,Cassava,Sandy,12 to 30,Rabi,Leafy
Egypt,Sesame,Saline,11 to 33,Monsoon,Fruit
Egypt,Sunflower,Saline,13 to 27,Winter,Pulse
Egypt,Pear,Peaty,24 to 34,Zaid,Vegetable
Egypt,Leek,Saline,11 to 29,Kharif,Fruit
Egypt,Cocoa,Sandy,22 to 34,Rabi,Root
Egypt,Papaya,Clay,24 to 26,Zaid,Cereal
Egypt,Coconut,Silt,11 to 28,Zaid,Cash Crop
Egypt,Cotton,Silt,23 to 31,Dry,Leafy
Egypt,Linseed,Sandy,21 to 35,Zaid,Root
Egypt,Flax,Peaty,14 to 32,Rabi,Leafy
Egypt,Cassava,Clay,11 to 31,Monsoon,Pulse
Egypt,Spinach,Loamy,18 to 34,Winter,Cereal
Egypt,Pineapple,Saline,17 to 38,Rabi,Root
Egypt,Turnip,Silt,23 to 29,Summer,Cereal
Egypt,Cassava,Loamy,25 to 27,Summer,Leafy
Egypt,Fennel,Chalky,13 to 35,Winter,Vegetable
Egypt,Apple,Silt,16 to 38,Summer,Cash Crop
Egypt,Chickpea,Saline,11 to 34,Winter,Cash Crop
Egypt,Orange,Silt,25 to 27,Winter,Pulse
Egypt,Leek,Clay,13 to 29,Dry,Pulse
Egypt,Peach,Loamy,22 to 31,Summer,Cash Crop
Egypt,Peanut,Silt,14 to 32,Winter,Cash Crop
Egypt,Pear,Silt,24 to 38,Rabi,Fruit
Egypt,Beans,Peaty,19 to 28,Zaid,Cash Crop
Egypt,Turmeric,Peaty,12 to 34,Dry,Root
Egypt,Linseed,Silt,18 to 35,Rabi,Cereal
Egypt,Beans,Peaty,25 to 35,Summer,Vegetable
Egypt,Barley,Clay,19 to 37,Kharif,Leafy
Egypt,Papaya,Sandy,21 to 36,Dry,Pulse
Egypt,Coffee,Chalky,14 to 30,Kharif,Root
Egypt,Onion,Clay,25 to 27,Dry,Cereal
Egypt,Blueberry,Chalky,15 to 30,Rabi,Cereal
Egypt,Mustard,Saline,20 to 29,Winter,Fruit
Egypt,Sesame,Sandy,12 to 28,Rabi,Fruit
Egypt,Sorghum,Peaty,22 to 27,Zaid,Cash Crop
Egypt,Mustard,Clay,23 to 26,Zaid,Root
Egypt,Avocado,Clay,11 to 36,Monsoon,Fruit
Egypt,Millet,Loamy,12 to 37,Summer,Fruit
Egypt,Orange,Sandy,13 to 31,Summer,Cereal
Egypt,Millet,Saline,18 to 28,Zaid,Vegetable
Egypt,Avocado,Peaty,22 to 33,Monsoon,Root
Egypt,Pumpkin,Clay,21 to 32,Dry,Fruit
Egypt,Watermelon,Sandy,11 to 36,Summer,Cereal
Egypt,Coffee,Chalky,22 to 34,Dry,Fruit
Egypt,Okra,Sandy,14 to 33,Monsoon,Cash Crop
El Salvador,Cocoa,Loamy,19 to 36,Monsoon,Pulse
El Salvador,Soybean,Peaty,16 to 26,Summer,Vegetable
El Salvador,Orange,Clay,23 to 29,Dry,Vegetable
El Salvador,Mango,Silt,10 to 37,Monsoon,Cash Crop
El Salvador,Cabbage,Silt,10 to 26,Winter,Vegetable
El Salvador,Brinjal,Peaty,11 to 26,Zaid,Cereal
El Salvador,Brinjal,Saline,12 to 33,Monsoon,Pulse
El Salvador,Orange,Saline,17 to 35,Summer,Vegetable
El Salvador,Plum,Clay,16 to 27,Kharif,Root
El Salvador,Papaya,Sandy,23 to 32,Summer,Cash Crop
El Salvador,Cassava,Clay,10 to 29,Kharif,Cash Crop
El Salvador,Zucchini,Clay,13 to 30,Dry,Root
El Salvador,Okra,Loamy,25 to 29,Kharif,Cash Crop
El Salvador,Banana,Clay,14 to 34,Dry,Root
El Salvador,Pear,Saline,25 to 27,Monsoon,Vegetable
El Salvador,Papaya,Loamy,13 to 29,Winter,Leafy
El Salvador,Quinoa,Sandy,23 to 31,Winter,Pulse
El Salvador,Cassava,Sandy,21 to 38,Winter,Root
El Salvador,Orange,Saline,22 to 35,Dry,Cash Crop
El Salvador,Quinoa,Sandy,20 to 27,Dry,Pulse
El Salvador,Rye,Loamy,21 to 36,Monsoon,Pulse
El Salvador,Blueberry,Silt,21 to 36,Winter,Fruit
El Salvador,Fennel,Saline,21 to 28,Kharif,Pulse
El Salvador,Okra,Peaty,20 to 33,Summer,Root
El Salvador,Melon,Sandy,24 to 27,Summer,Leafy
El Salvador,Sesame,Loamy,10 to 27,Kharif,Leafy
El Salvador,Coffee,Saline,17 to 27,Summer,Cash Crop
El Salvador,Brinjal,Clay,14 to 38,Dry,Fruit
El Salvador,Watermelon,Peaty,13 to 31,Summer,Cereal
El Salvador,Turmeric,Peaty,22 to 35,Summer,Root
El Salvador,Orange,Sandy,16 to 32,Monsoon,Vegetable
El Salvador,Quinoa,Loamy,18 to 26,Dry,Root
El Salvador,Carrot,Chalky,25 to 38,Rabi,Vegetable
El Salvador,Fennel,Clay,14 to 26,Summer,Fruit
El Salvador,Peas,Loamy,14 to 32,Monsoon,Leafy
El Salvador,Blueberry,Chalky,14 to 28,Kharif,Vegetable
El Salvador,Flax,Peaty,23 to 38,Rabi,Fruit
El Salvador,Sorghum,Chalky,24 to 27,Dry,Root
El Salvador,Artichoke,Loamy,22 to 32,Kharif,Cereal
El Salvador,Fennel,Chalky,25 to 34,Rabi,Cash Crop
El Salvador,Melon,Sandy,10 to 32,Monsoon,Cash Crop
El Salvador,Plum,Sandy,20 to 38,Summer,Cereal
El Salvador,Turmeric,Sandy,23 to 36,Summer,Pulse
El Salvador,Apple,Silt,17 to 35,Zaid,Root
El Salvador,Fennel,Clay,11 to 35,Dry,Vegetable
El Salvador,Flax,Loamy,23 to 31,Monsoon,Fruit
El Salvador,Spinach,Loamy,17 to 26,Monsoon,Root
El Salvador,Quinoa,Silt,16 to 28,Summer,Pulse
El Salvador,Apple,Peaty,22 to 29,Summer,Pulse
El Salvador,Apple,Sandy,25 to 35,Summer,Cereal
El Salvador,Teff,Saline,25 to 28,Zaid,Vegetable
El Salvador,Cotton,Clay,12 to 34,Kharif,Fruit
El Salvador,Avocado,Silt,15 to 26,Zaid,Cash Crop
El Salvador,Oats,Loamy,18 to 30,Winter,Leafy
El Salvador,Pear,Clay,19 to 36,Kharif,Cash Crop
El Salvador,Turnip,Loamy,19 to 37,Zaid,Vegetable
El Salvador,Watermelon,Peaty,15 to 38,Kharif,Root
El Salvador,Coconut,Sandy,14 to 27,Monsoon,Leafy
El Salvador,Beetroot,Silt,21 to 33,Rabi,Root
El Salvador,Sunflower,Clay,10 to 27,Kharif,Cereal
Equatorial Guinea,Turnip,Loamy,13 to 28,Monsoon,Cash Crop
Equatorial Guinea,Barley,Loamy,14 to 34,Dry,Root
Equatorial Guinea,Sorghum,Chalky,21 to 32,Zaid,Cereal
Equatorial Guinea,Flax,Sandy,19 to 31,Monsoon,Fruit
Equatorial Guinea,Onion,Clay,11 to 26,Summer,Vegetable
Equatorial Guinea,Carrot,Saline,14 to 38,Rabi,Cash Crop
Equatorial Guinea,Linseed,Saline,24 to 38,Dry,Root
Equatorial Guinea,Grapes,Sandy,17 to 32,Rabi,Cereal
Equatorial Guinea,Cotton,Chalky,25 to 31,Kharif,Cash Crop
Equatorial Guinea,Chickpea,Peaty,23 to 31,Dry,Pulse
Equatorial Guinea,Beetroot,Clay,10 to 31,Monsoon,Root
Equatorial Guinea,Teff,Sandy,15 to 27,Rabi,Leafy
Equatorial Guinea,Watermelon,Saline,18 to 31,Zaid,Root
Equatorial Guinea,Pear,Saline,19 to 34,Dry,Cash Crop
Equatorial Guinea,Cranberry,Silt,21 to 29,Summer,Cash Crop
Equatorial Guinea,Peas,Peaty,25 to 30,Dry,Vegetable
Equatorial Guinea,Sorghum,Silt,21 to 36,Winter,Fruit
Equatorial Guinea,Plum,Silt,24 to 37,Winter,Cereal
Equatorial Guinea,Blueberry,Clay,15 to 31,Summer,Cash Crop
Equatorial Guinea,Ginger,Saline,22 to 26,Zaid,Pulse
Equatorial Guinea,Sorghum,Saline,11 to 37,Winter,Vegetable
Equatorial Guinea,Orange,Clay,25 to 38,Dry,Cash Crop
Equatorial Guinea,Mango,Chalky,16 to 37,Kharif,Fruit
Equatorial Guinea,Barley,Loamy,15 to 35,Dry,Vegetable
Equatorial Guinea,Plum,Sandy,15 to 37,Kharif,Cereal
Equatorial Guinea,Millet,Sandy,12 to 29,Winter,Root
Equatorial Guinea,Papaya,Saline,20 to 33,Dry,Cereal
Equatorial Guinea,Cotton,Silt,24 to 30,Monsoon,Root
Equatorial Guinea,Melon,Chalky,24 to 27,Kharif,Leafy
Equatorial Guinea,Peas,Peaty,17 to 27,Rabi,Cash Crop
Equatorial Guinea,Lentil,Silt,17 to 33,Monsoon,Fruit
Equatorial Guinea,Orange,Clay,25 to 30,Winter,Fruit
Equatorial Guinea,Onion,Clay,25 to 27,Rabi,Leafy
Equatorial Guinea,Millet,Clay,17 to 31,Summer,Leafy
Equatorial Guinea,Rice,Loamy,16 to 28,Dry,Cereal
Equatorial Guinea,Blueberry,Loamy,13 to 37,Summer,Cash Crop
Equatorial Guinea,Garlic,Saline,15 to 36,Rabi,Pulse
Equatorial Guinea,Papaya,Sandy,19 to 35,Zaid,Pulse
Equatorial Guinea,Banana,Clay,22 to 32,Dry,Leafy
Equatorial Guinea,Plum,Chalky,11 to 34,Monsoon,Cereal
Equatorial Guinea,Turnip,Sandy,22 to 32,Winter,Root
Equatorial Guinea,Maize,Saline,16 to 37,Rabi,Leafy
Equatorial Guinea,Mango,Saline,22 to 38,Zaid,Leafy
Equatorial Guinea,Okra,Saline,18 to 34,Rabi,Cash Crop
Equatorial Guinea,Papaya,Chalky,12 to 28,Monsoon,Vegetable
Equatorial Guinea,Melon,Silt,13 to 33,Rabi,Fruit
Equatorial Guinea,Spinach,Silt,18 to 38,Zaid,Cash Crop
Equatorial Guinea,Grapes,Silt,22 to 30,Zaid,Root
Equatorial Guinea,Melon,Clay,12 to 26,Dry,Pulse
Equatorial Guinea,Sunflower,Clay,22 to 38,Dry,Cash Crop
Equatorial Guinea,Leek,Silt,17 to 30,Winter,Vegetable
Equatorial Guinea,Maize,Saline,10 to 35,Winter,Fruit
Equatorial Guinea,Apple,Chalky,16 to 27,Winter,Vegetable
Equatorial Guinea,Cocoa,Peaty,21 to 37,Monsoon,Root
Equatorial Guinea,Peach,Silt,25 to 31,Rabi,Leafy
Equatorial Guinea,Beetroot,Chalky,22 to 30,Monsoon,Fruit
Equatorial Guinea,Beetroot,Chalky,24 to 27,Kharif,Vegetable
Equatorial Guinea,Peanut,Saline,17 to 32,Winter,Root
Equatorial Guinea,Maize,Silt,14 to 31,Rabi,Fruit
Equatorial Guinea,Okra,Chalky,17 to 37,Monsoon,Vegetable
Eritrea,Cassava,Peaty,20 to 36,Winter,Cereal
Eritrea,Beans,Sandy,23 to 28,Dry,Leafy
Eritrea,Ginger,Sandy,24 to 34,Dry,Leafy
Eritrea,Grapes,Loamy,20 to 26,Winter,Pulse
Eritrea,Linseed,Silt,22 to 36,Dry,Leafy
Eritrea,Lentil,Chalky,12 to 33,Dry,Cereal
Eritrea,Cocoa,Sandy,16 to 32,Monsoon,Vegetable
Eritrea,Orange,Saline,18 to 37,Summer,Cereal
Eritrea,Sugarcane,Peaty,18 to 37,Kharif,Cash Crop
Eritrea,Strawberry,Loamy,13 to 37,Zaid,Vegetable
Eritrea,Rice,Loamy,13 to 28,Monsoon,Vegetable
Eritrea,Melon,Silt,14 to 28,Dry,Cereal
Eritrea,Coffee,Chalky,24 to 29,Monsoon,Pulse
Eritrea,Zucchini,Saline,22 to 32,Zaid,Pulse
Eritrea,Garlic,Loamy,19 to 32,Rabi,Cash Crop
Eritrea,Watermelon,Saline,17 to 38,Monsoon,Fruit
Eritrea,Cranberry,Loamy,10 to 31,Dry,Vegetable
Eritrea,Pumpkin,Peaty,17 to 30,Summer,Cash Crop
Eritrea,Spinach,Silt,25 to 34,Rabi,Vegetable
Eritrea,Okra,Peaty,13 to 32,Rabi,Cash Crop
Eritrea,Maize,Saline,12 to 32,Winter,Fruit
Eritrea,Chickpea,Saline,10 to 34,Kharif,Vegetable
Eritrea,Spinach,Loamy,14 to 26,Rabi,Pulse
Eritrea,Oats,Silt,18 to 31,Kharif,Leafy
Eritrea,Zucchini,Sandy,22 to 26,Summer,Leafy
Eritrea,Quinoa,Loamy,19 to 33,Winter,Root
Eritrea,Peanut,Silt,22 to 28,Kharif,Root
Eritrea,Linseed,Peaty,19 to 29,Zaid,Vegetable
Eritrea,Blueberry,Saline,23 to 28,Dry,Leafy
Eritrea,Radish,Silt,12 to 32,Monsoon,Pulse
Eritrea,Avocado,Saline,14 to 36,Monsoon,Fruit
Eritrea,Cocoa,Loamy,24 to 31,Zaid,Root
Eritrea,Beans,Sandy,24 to 32,Dry,Cash Crop
Eritrea,Grapes,Saline,25 to 32,Dry,Vegetable
Eritrea,Mustard,Loamy,15 to 27,Zaid,Leafy
Eritrea,Peach,Clay,25 to 30,Dry,Cereal
Eritrea,Turnip,Silt,14 to 26,Dry,Leafy
Eritrea,Sugarcane,Sandy,16 to 29,Dry,Root
Eritrea,Radish,Sandy,19 to 33,Kharif,Leafy
Eritrea,Banana,Saline,14 to 27,Monsoon,Root
Eritrea,Beetroot,Saline,20 to 32,Summer,Fruit
Eritrea,Pumpkin,Clay,15 to 37,Rabi,Fruit
Eritrea,Sugarcane,Clay,25 to 32,Kharif,Cash Crop
Eritrea,Teff,Peaty,25 to 38,Rabi,Vegetable
Eritrea,Rice,Saline,21 to 34,Kharif,Pulse
Eritrea,Soybean,Peaty,24 to 28,Zaid,Cash Crop
Eritrea,Mango,Saline,10 to 30,Summer,Cash Crop
Eritrea,Spinach,Sandy,17 to 29,Monsoon,Leafy
Eritrea,Mustard,Silt,25 to 26,Summer,Fruit
Eritrea,Lentil,Silt,20 to 33,Kharif,Leafy
Eritrea,Fennel,Chalky,15 to 30,Winter,Cereal
Eritrea,Avocado,Clay,15 to 29,Summer,Root
Eritrea,Turmeric,Saline,24 to 26,Dry,Root
Eritrea,Cocoa,Clay,24 to 35,Summer,Fruit
Eritrea,Peas,Clay,16 to 32,Rabi,Pulse
Eritrea,Fennel,Clay,12 to 33,Winter,Pulse
Eritrea,Turmeric,Saline,23 to 30,Dry,Root
Eritrea,Flax,Peaty,25 to 26,Winter,Vegetable
Eritrea,Spinach,Loamy,24 to 29,Summer,Root
Eritrea,Linseed,Loamy,15 to 28,Rabi,Pulse
Estonia,Pumpkin,Clay,14 to 32,Zaid,Pulse
Estonia,Rice,Sandy,10 to 28,Summer,Vegetable
Estonia,Ginger,Loamy,25 to 35,Kharif,Fruit
Estonia,Sesame,Peaty,11 to 29,Monsoon,Cereal
Estonia,Ginger,Silt,14 to 35,Rabi,Fruit
Estonia,Peach,Silt,17 to 29,Rabi,Root
Estonia,Watermelon,Loamy,23 to 33,Zaid,Root
Estonia,Coffee,Loamy,15 to 35,Dry,Cereal
Estonia,Papaya,Peaty,24 to 29,Monsoon,Vegetable
Estonia,Blueberry,Clay,18 to 33,Kharif,Vegetable
Estonia,Lentil,Clay,15 to 26,Zaid,Fruit
Estonia,Apple,Clay,14 to 32,Winter,Cash Crop
Estonia,Lentil,Loamy,20 to 34,Zaid,Fruit
Estonia,Artichoke,Clay,16 to 33,Summer,Cash Crop
Estonia,Leek,Peaty,15 to 26,Kharif,Vegetable
Estonia,Chickpea,Loamy,19 to 26,Monsoon,Leafy
Estonia,Cotton,Loamy,18 to 28,Monsoon,Fruit
Estonia,Zucchini,Sandy,25 to 36,Dry,Root
Estonia,Apple,Silt,22 to 32,Winter,Pulse
Estonia,Ginger,Chalky,20 to 32,Kharif,Vegetable
Estonia,Banana,Silt,25 to 35,Summer,Leafy
Estonia,Papaya,Peaty,25 to 30,Kharif,Vegetable
Estonia,Soybean,Chalky,12 to 30,Kharif,Vegetable
Estonia,Orange,Loamy,14 to 35,Dry,Cereal
Estonia,Fennel,Silt,24 to 38,Rabi,Cereal
Estonia,Onion,Saline,16 to 31,Dry,Root
Estonia,Flax,Clay,20 to 34,Summer,Pulse
Estonia,Sugarcane,Chalky,10 to 25,Zaid,Vegetable
Estonia,Okra,Peaty,22 to 32,Zaid,Leafy
Estonia,Coffee,Saline,23 to 34,Monsoon,Cereal
Estonia,Blueberry,Sandy,12 to 36,Summer,Root
Estonia,Cotton,Silt,25 to 36,Rabi,Leafy
Estonia,Blueberry,Silt,24 to 27,Dry,Pulse
Estonia,Sunflower,Peaty,14 to 35,Winter,Leafy
Estonia,Wheat,Peaty,11 to 36,Monsoon,Fruit
Estonia,Cotton,Peaty,14 to 33,Rabi,Fruit
Estonia,Papaya,Sandy,10 to 36,Summer,Pulse
Estonia,Flax,Clay,16 to 30,Kharif,Leafy
Estonia,Orange,Loamy,22 to 30,Winter,Cash Crop
Estonia,Oats,Chalky,15 to 31,Zaid,Cereal
Estonia,Rice,Sandy,15 to 33,Summer,Cash Crop
Estonia,Cabbage,Peaty,12 to 32,Winter,Cereal
Estonia,Cocoa,Clay,17 to 36,Zaid,Pulse
Estonia,Potato,Sandy,23 to 35,Rabi,Pulse
Estonia,Flax,Saline,22 to 35,Winter,Fruit
Estonia,Barley,Clay,11 to 26,Summer,Leafy
Estonia,Peach,Silt,20 to 28,Zaid,Cereal
Estonia,Coconut,Peaty,19 to 26,Kharif,Leafy
Estonia,Peanut,Clay,25 to 38,Summer,Cereal
Estonia,Pineapple,Saline,14 to 34,Winter,Cereal
Estonia,Cabbage,Loamy,14 to 31,Rabi,Cereal
Estonia,Sugarcane,Clay,17 to 26,Zaid,Root
Estonia,Pear,Clay,19 to 36,Monsoon,Pulse
Estonia,Sugarcane,Sandy,15 to 30,Rabi,Cash Crop
Estonia,Coconut,Saline,19 to 26,Summer,Root
Estonia,Quinoa,Loamy,16 to 31,Kharif,Pulse
Estonia,Zucchini,Chalky,18 to 32,Rabi,Root
Estonia,Turmeric,Clay,22 to 32,Dry,Leafy
Estonia,Lentil,Silt,16 to 26,Winter,Fruit
Estonia,Flax,Saline,10 to 33,Monsoon,Cash Crop
Eswatini,Flax,Loamy,14 to 34,Rabi,Vegetable
Eswatini,Lentil,Clay,23 to 34,Winter,Vegetable
Eswatini,Okra,Saline,10 to 28,Summer,Fruit
Eswatini,Turmeric,Saline,13 to 37,Monsoon,Root
Eswatini,Sunflower,Saline,18 to 29,Rabi,Pulse
Eswatini,Blueberry,Clay,15 to 35,Kharif,Fruit
Eswatini,Carrot,Clay,11 to 26,Zaid,Cereal
Eswatini,Pineapple,Silt,23 to 35,Winter,Leafy
Eswatini,Rice,Saline,14 to 27,Dry,Leafy
Eswatini,Maize,Clay,21 to 36,Winter,Cereal
Eswatini,Maize,Loamy,12 to 37,Monsoon,Vegetable
Eswatini,Sunflower,Peaty,24 to 32,Dry,Root
Eswatini,Spinach,Saline,16 to 31,Winter,Root
Eswatini,Apple,Loamy,10 to 32,Monsoon,Pulse
Eswatini,Beans,Peaty,13 to 30,Rabi,Vegetable
Eswatini,Turmeric,Sandy,21 to 30,Rabi,Cereal
Eswatini,Papaya,Silt,20 to 29,Zaid,Vegetable
Eswatini,Cotton,Silt,17 to 32,Zaid,Root
Eswatini,Pumpkin,Clay,12 to 28,Rabi,Cash Crop
Eswatini,Sorghum,Silt,17 to 38,Dry,Root
Eswatini,Linseed,Silt,12 to 38,Monsoon,Fruit
Eswatini,Ginger,Clay,14 to 27,Kharif,Fruit
Eswatini,Teff,Silt,16 to 35,Rabi,Cash Crop
Eswatini,Beetroot,Loamy,18 to 38,Monsoon,Pulse
Eswatini,Tomato,Chalky,19 to 34,Kharif,Root
Eswatini,Blueberry,Saline,10 to 30,Summer,Cash Crop
Eswatini,Carrot,Peaty,16 to 36,Zaid,Fruit
Eswatini,Apple,Chalky,10 to 28,Winter,Cash Crop
Eswatini,Peach,Saline,18 to 37,Winter,Fruit
Eswatini,Pumpkin,Saline,21 to 27,Kharif,Fruit
Eswatini,Teff,Clay,10 to 27,Summer,Pulse
Eswatini,Ginger,Silt,11 to 26,Zaid,Vegetable
Eswatini,Potato,Chalky,25 to 31,Zaid,Cash Crop
Eswatini,Rye,Chalky,20 to 38,Kharif,Vegetable
Eswatini,Soybean,Sandy,11 to 27,Kharif,Cash Crop
Eswatini,Watermelon,Loamy,12 to 29,Monsoon,Cereal
Eswatini,Cotton,Chalky,14 to 31,Winter,Leafy
Eswatini,Peas,Loamy,11 to 28,Kharif,Pulse
Eswatini,Pineapple,Silt,24 to 34,Monsoon,Cereal
Eswatini,Peas,Saline,15 to 29,Rabi,Vegetable
Eswatini,Garlic,Peaty,14 to 28,Zaid,Pulse
Eswatini,Grapes,Sandy,12 to 36,Kharif,Fruit
Eswatini,Potato,Clay,16 to 36,Zaid,Root
Eswatini,Plum,Peaty,18 to 28,Monsoon,Pulse
Eswatini,Coffee,Peaty,24 to 30,Kharif,Cash Crop
Eswatini,Brinjal,Sandy,12 to 38,Kharif,Vegetable
Eswatini,Turnip,Loamy,21 to 34,Rabi,Vegetable
Eswatini,Pumpkin,Loamy,24 to 37,Summer,Cereal
Eswatini,Pumpkin,Clay,19 to 29,Winter,Leafy
Eswatini,Blueberry,Saline,11 to 31,Dry,Cash Crop
Eswatini,Quinoa,Saline,15 to 33,Dry,Vegetable
Eswatini,Garlic,Clay,14 to 29,Dry,Vegetable
Eswatini,Mango,Peaty,25 to 36,Monsoon,Leafy
Eswatini,Flax,Peaty,15 to 27,Summer,Leafy
Eswatini,Peas,Silt,17 to 26,Dry,Fruit
Eswatini,Fennel,Sandy,18 to 36,Kharif,Leafy
Eswatini,Spinach,Sandy,17 to 34,Rabi,Cereal
Eswatini,Maize,Sandy,21 to 38,Zaid,Cash Crop
